O11,O12,O13,O21,O22,O23,O31,O32,O33,X,Y,Z,GrainRadius,Eul0,Eul1,Eul2,eKen11,eKen12,eKen13,eKen21,eKen22,eKen23,eKen31,eKen32,eKen33
-0.166058,-0.628594,0.759799,-0.607055,0.672358,0.423579,-0.777116,-0.390901,-0.493241,440.057653,-345.519697,496.568014,77.712231,2.07937,2.086608,4.246333,-217.79578,78.386608,-5.948671,78.386608,-176.491379,83.536687,-5.948671,83.536687,1033.524285
0.200574,-0.557214,0.805781,-0.560467,0.609336,0.560879,-0.803522,-0.564111,-0.190083,-97.266926,-240.360852,256.35323900000003,80.898943,2.178879,1.762043,4.100289,-10.920487,36.820619,176.117422,36.820619,-385.094295,-21.698455,176.117422,-21.698455,1118.132683
-0.171415,-0.501262,0.848147,-0.810362,0.561336,0.167976,-0.560295,-0.658513,-0.502425,-325.739232,-119.850096,230.615763,85.975015,1.766316,2.097197,3.846579,-417.200941,-47.162419,66.492626,-47.162419,-60.977827,115.762883,66.492626,115.762883,1034.042684
-0.671011,-0.354875,-0.651005,0.727058,-0.142789,-0.671564,0.145365,-0.923945,0.353828,516.802433,-194.695881,569.666258,70.098488,5.51333,1.209136,2.985541,-136.403441,163.157992,206.075271,163.157992,-504.62019,85.315536,206.075271,85.315536,1379.059152
0.732923,-0.046806,-0.6787,0.679631,0.005771,0.733531,-0.030417,-0.998887,0.036041,-179.514355,377.635851,270.814757,97.689804,3.888184,1.534748,3.172034,-468.649731,165.394885,-33.791906,165.394885,-316.124672,15.862951,-33.791906,15.862951,1237.755234
-0.374579,-0.903553,0.208043,0.464276,0.011441,0.885617,-0.802582,0.428323,0.415213,-195.701776,214.121176,446.811431,76.306054,2.910863,1.14262,5.202617,-112.068844,10.623161,-94.422101,10.623161,-70.217689,-80.199214,-94.422101,-80.199214,1129.029553
0.35327,-0.332737,0.874349,-0.765546,0.434375,0.474613,-0.537717,-0.837021,-0.101273,172.405126,-399.204491,479.355724,110.207566,2.068109,1.672244,3.712619,-180.442496,-81.541241,256.203659,-81.541241,-130.455542,55.151331,256.203659,55.151331,1099.905981
0.439964,-0.213651,0.87223,-0.801684,0.344212,0.488693,-0.404642,-0.91426,-0.019839,120.549242,-46.169683,411.326275,67.129901,2.081498,1.590637,3.558267,-370.544494,-35.483369,259.248161,-35.483369,-387.670363,-107.82258,259.248161,-107.82258,1254.428633
-0.637126,-0.360828,-0.681083,0.764059,-0.41194,-0.496507,-0.101411,-0.836725,0.538152,-12.540756,45.312346,547.814145,107.823599,5.342312,1.002553,3.262205,-79.84659,119.421495,-36.322223,119.421495,-94.955385,55.152375,-36.322223,55.152375,1111.361207
-0.245232,-0.159483,-0.956257,0.381546,0.890896,-0.24643,0.891226,-0.425288,-0.157626,436.344368,135.626822,277.35778600000003,87.616732,4.964604,1.729083,2.016033,-672.767917,57.464744,-66.626388,57.464744,58.984637,143.6702,-66.626388,143.6702,1203.82336
0.562806,0.773792,0.290682,-0.721253,0.287931,0.629993,0.403787,-0.564219,0.720148,115.554457,454.894426,428.818681,99.816044,2.709295,0.76678,2.520436,-171.877936,-19.815873,133.854903,-19.815873,-244.147905,251.221655,133.854903,251.221655,992.154557
0.103959,0.797669,-0.594068,-0.250738,0.599031,0.760455,0.962457,0.069899,0.262281,-8.374285,-401.22223,443.570435,87.138667,3.804765,1.305411,1.498298,-576.980419,-189.260117,2.009729,-189.260117,-289.839736,-150.99735,2.009729,-150.99735,1198.675133
-0.035334,0.090992,-0.995225,0.176456,0.980768,0.083405,0.983674,-0.172667,-0.05071,306.263982,107.33595,487.643104,102.787519,4.628779,1.621528,1.744559,-507.742836,133.08379,-24.649251,133.08379,-158.204142,183.847613,-24.649251,183.847613,1583.197909
-0.4627,-0.533807,0.707785,-0.694735,0.71428,0.084537,-0.550683,-0.452608,-0.701352,367.116707,209.009452,381.997999,89.934756,1.689672,2.348088,4.024435,-327.703371,320.904195,11.001799,320.904195,-418.880269,65.334054,11.001799,65.334054,1090.975459
0.415334,0.271554,0.868191,-0.589045,0.807572,0.0292,-0.693198,-0.523532,0.49537,-60.608314,-311.407876,530.870727,119.324849,1.604417,1.052536,4.065542,-41.542464,-110.594999,-14.520826,-110.594999,-16.428985,38.437874,-14.520826,38.437874,1114.078097
-0.173551,0.814522,-0.553565,0.343934,0.576831,0.740928,0.922816,-0.061801,-0.380252,337.868143,-241.57493,207.088787,62.990914,3.78325,1.960865,1.637666,-400.435087,145.075711,-80.279409,145.075711,-288.122949,129.50163,-80.279409,129.50163,1393.026468
0.899535,-0.135716,-0.415233,0.383807,0.699489,0.602833,0.208637,-0.701638,0.681304,47.294306,167.983564,529.3115740000001,101.708134,3.744764,0.821254,2.852563,-141.323166,131.802398,-1.504767,131.802398,-101.761786,-160.024727,-1.504767,-160.024727,1211.87381
0.549874,-0.48746,-0.678249,0.717195,0.691758,0.084279,0.428101,-0.53278,0.729983,-132.128596,10.220834,286.852845,92.990281,4.588762,0.752499,2.464707,-2.320943,-57.648336,4.381038,-57.648336,-39.412299,-66.343421,4.381038,-66.343421,1015.949007
0.352335,0.770558,-0.531132,0.459594,0.351915,0.815432,0.815251,-0.53141,-0.230152,148.704039,21.20179,327.380338,99.893638,3.718917,1.80303,2.148461,-37.198225,88.610063,-56.691518,88.610063,-182.514985,6.472253,-56.691518,6.472253,971.742606
-0.565598,-0.484078,0.667658,-0.522332,0.836782,0.164212,-0.638175,-0.255861,-0.726132,515.149471,-230.532272,454.713949,74.851456,1.811961,2.383475,4.331084,239.583876,55.910957,16.739876,55.910957,-215.058064,-28.639596,16.739876,-28.639596,1206.609729
-0.073959,0.891059,-0.44782,-0.439232,0.374044,0.816802,0.895324,0.257107,0.363718,-136.535277,209.339497,319.880313,73.845859,3.643099,1.19854,1.291155,-219.561954,4.558454,-169.566773,4.558454,-213.874258,-407.531926,-169.566773,-407.531926,1332.231699
-0.277202,-0.516646,0.810084,-0.773674,0.619967,0.130652,-0.569726,-0.590524,-0.571572,423.699499,275.55842,529.496425,87.378318,1.730702,2.179216,3.909068,-692.010443,-64.874745,1.734634,-64.874745,61.571891,-23.919618,1.734634,-23.919618,957.291666
0.656823,-0.465151,-0.59348,0.651627,-0.045897,0.75715,-0.379428,-0.884041,0.272959,-164.325855,45.475968,308.556911,78.059398,3.806398,1.294329,3.547013,235.139217,114.130735,104.553061,114.130735,-432.080033,-81.29408,104.553061,-81.29408,764.540914
0.378263,0.002531,0.925695,-0.785325,0.530296,0.319455,-0.490083,-0.847809,0.202579,-121.741976,-154.847914,444.039649,135.726884,1.903097,1.366806,3.665723,-253.63085,-9.765753,84.06252,-9.765753,-93.621266,-250.091147,84.06252,-250.091147,1026.483047
-0.784106,0.599501,0.160553,-0.61788,-0.778376,-0.111151,0.058335,-0.186357,0.980749,1.032965,-215.977737,579.806864,79.033516,0.965254,0.196536,2.838226,-180.259503,-144.284964,-104.069279,-144.284964,-337.444303,-228.889279,-104.069279,-228.889279,1426.692478
-0.152437,-0.981005,0.119966,0.431257,0.043194,0.901195,-0.889258,0.189111,0.416481,234.268475,-233.577597,538.084428,87.90646,3.009252,1.141225,4.921929,-314.180879,227.246893,176.815211,227.246893,-251.260763,-214.248688,176.815211,-214.248688,1240.907475
0.375046,0.076042,0.923882,-0.921147,0.142445,0.362212,-0.104059,-0.986877,0.123469,53.462056,-373.9922,324.922904,123.527452,1.944434,1.447011,3.246647,-241.986009,-25.320759,57.24526,-25.320759,-274.155835,-111.3933,57.24526,-111.3933,1256.324155
0.490206,0.712353,0.502247,-0.754155,0.057761,0.654151,0.436976,-0.699441,0.565539,-318.35755,333.595931,387.524783,61.414475,2.486806,0.969709,2.583173,-135.874508,25.518306,67.11117,25.518306,-533.427436,38.501083,67.11117,38.501083,671.482817
-0.239169,-0.9256,0.293364,0.719726,0.033808,0.693435,-0.651761,0.37699,0.658093,-217.645473,386.203967,249.994516,99.442522,2.741367,0.852514,5.236788,-308.557834,87.704046,87.29422,87.704046,-116.165398,-20.756971,87.29422,-20.756971,950.210452
-0.339431,-0.892975,-0.295605,0.938483,-0.300273,-0.170545,0.06353,-0.335309,0.939964,452.119471,-81.763743,534.883486,91.892251,5.235677,0.348272,2.954344,-178.263006,-25.121216,-243.511121,-25.121216,-323.988749,-27.393396,-243.511121,-27.393396,1186.207595
0.617855,-0.286561,-0.732215,0.528797,0.840614,0.117223,0.581919,-0.459619,0.67091,498.098487,313.322321,431.834499,75.801938,4.553643,0.835361,2.239308,114.789965,258.534606,-78.269506,258.534606,-316.245924,-207.693066,-78.269506,-207.693066,898.379359
0.199579,0.966467,-0.161587,-0.756405,0.256783,0.601593,0.622912,0.00216,0.782289,-191.558249,-110.949689,344.029776,107.574527,3.403998,0.672464,1.567329,-185.499203,46.335688,74.648943,46.335688,112.406452,-67.406553,74.648943,-67.406553,997.34688
