%GrainID,O11,O12,O13,O21,O22,O23,O31,O32,O33,X,Y,Z,a,b,c,alpha,beta,gamma,DiffPos,DiffOme,DiffAngle,GrainRadius,Confidence,eFab11,eFab12,eFab13,eFab21,eFab22,eFab23,eFab31,eFab32,eFab33,eKen11,eKen12,eKen13,eKen21,eKen22,eKen23,eKen31,eKen32,eKen33,RMSErrorStrain,PhaseNr,Eul0,Eul1,Eul2,layer,Zraw,eqv_strain,strain/error,Confidence/R
45645.0,0.222977,-0.57224,-0.789191,0.927248,0.374329,-0.009441,0.30082,-0.72967,0.614076,239.169693,-25.582679,456.504006,3.593665,3.597109,3.594946,90.045451,89.920785,90.054381,140.638041,0.068066,0.068484,82.468787,0.861111,-244.3431,-383.006075,227.299971,-383.006075,-504.378988,300.715657,227.299971,300.715657,1164.154068,-287.221776,-17.752866,274.404456,-17.752866,-322.934611,8.354663,274.404456,8.354663,1090.267375,593.853595,1.0,4.724352,0.909582,2.750555,0.0,56.504006,1415.87707378101,2.384219083124368,0.01044165958206709
44516.0,-0.703703,-0.501715,-0.503075,0.512742,0.131537,-0.848407,0.491831,-0.854974,0.164687,480.961898,153.213508,489.12402,3.594988,3.596719,3.594068,90.02362,89.993048,90.067601,109.140554,0.068576,0.065061,78.960407,0.986486,-352.70334,12.133702,-75.143941,12.133702,-193.363185,27.610651,-75.143941,27.610651,977.757569,-367.316249,17.890378,148.352494,17.890378,-160.418522,203.422395,148.352494,203.422395,1328.243405,486.076373,1.0,5.747955,1.405355,2.619564,0.0,89.12402,1617.0045363174663,3.3266470582339256,0.01249342597740156
44437.0,0.458702,0.410864,-0.787898,-0.111769,0.906319,0.407546,0.881533,-0.09888,0.461653,332.061792,-291.587811,350.047993,3.597471,3.595294,3.592046,89.976198,89.912916,90.017004,94.984621,0.057688,0.055684,103.111301,0.992958,-1019.92134,299.639519,214.25951,299.639519,125.854343,-37.521703,214.25951,-37.521703,1057.197216,-129.760731,62.942259,275.29514,62.942259,-284.346644,-7.69221,275.29514,-7.69221,1213.395827,400.051094,1.0,4.235031,1.090939,1.682497,0.0,-49.952007,1447.568879447387,3.6184599946310536,0.009629962868958467
44624.0,-0.333181,-0.749297,0.572315,0.355433,0.462402,0.812313,-0.873303,0.474067,0.112261,152.91014,36.269553,327.830379,3.598213,3.595092,3.59347,89.992071,90.047091,90.078135,102.700419,0.064449,0.058856,87.220739,0.979167,-196.868581,-21.624662,118.425489,-21.624662,-500.115798,155.992713,118.425489,155.992713,1406.474914,-85.073684,-25.349414,50.347157,-25.349414,-413.791114,-64.545343,50.347157,-64.545343,1253.191896,486.336851,1.0,2.527819,1.458298,5.209721,0.0,-72.169621,1531.152762217714,3.148337945334342,0.011226309375801094
44439.0,-0.678354,-0.351646,-0.645121,0.430144,0.521763,-0.736708,0.595661,-0.777244,-0.202681,-46.996843,231.878327,492.887688,3.59496,3.597082,3.595331,89.955318,89.984311,90.080088,84.970188,0.05394,0.055085,101.193783,0.992754,140.056178,294.354189,142.647809,294.354189,-422.844453,-97.543287,142.647809,-97.543287,1158.760808,115.52944,137.741404,96.298812,137.741404,-162.602362,-170.549847,96.298812,-170.549847,1303.741647,374.542813,1.0,5.56397,1.774892,2.487693,0.0,92.887688,1364.8022585155165,3.643915224494019,0.00981042481631505
46183.0,0.59589,-0.259581,-0.759956,0.640977,0.72384,0.255353,0.483801,-0.639276,0.597714,-300.960622,-68.560332,388.406325,3.595276,3.596547,3.594471,90.038469,89.924131,90.032154,99.386437,0.058814,0.053921,87.648494,0.948529,-602.328646,-112.398118,183.263308,-112.398118,151.816719,63.658355,183.263308,63.658355,1026.266571,-250.811768,-2.080848,84.34652,-2.080848,114.321851,234.110907,84.34652,234.110907,1271.088715,502.487083,1.0,4.388231,0.930149,2.493757,0.0,-11.593675,1392.9291243166995,2.7720695147037233,0.010821965748778296
44443.0,-0.723088,-0.041021,-0.689537,0.456452,0.720861,-0.521547,0.518454,-0.691865,-0.502521,179.049478,248.94856,413.319504,3.595045,3.597247,3.595384,89.963164,90.050414,90.073019,62.554752,0.054308,0.048369,111.156242,1.0,-328.304896,179.674299,-97.126659,179.674299,-23.150783,-98.465941,-97.126659,-98.465941,1311.338581,38.884223,52.820769,-49.792351,52.820769,-72.260905,85.400186,-49.792351,85.400186,1072.372782,249.433641,1.0,5.359956,2.097309,2.498503,0.0,13.319504,1097.6069136795481,4.400396471298546,0.00899634588222225
45120.0,-0.262998,-0.520206,-0.812538,0.79624,0.358555,-0.487279,0.544825,-0.775128,0.319909,-9.523749,-348.104818,294.73997099999997,3.598386,3.596263,3.594662,90.0251,90.027725,90.058884,119.984833,0.068228,0.059181,121.093498,0.992857,-259.176283,95.674925,98.167467,95.674925,662.715662,437.16887,98.167467,437.16887,1011.940332,-258.697896,88.131379,67.506799,88.131379,-214.707864,7.710602,67.506799,7.710602,1048.602943,272.807952,1.0,5.252588,1.245162,2.528934,0.0,-105.260029,1289.4767240118688,4.726683055088763,0.00819909422386989
46162.0,0.442281,0.107987,-0.890352,0.453489,0.829547,0.325882,0.77378,-0.547896,0.317922,-0.656223,-319.777622,303.948193,3.598673,3.597617,3.595711,89.964333,89.957503,89.988317,128.046779,0.05705,0.052901,168.810579,1.0,94.834728,-60.432682,193.481615,-60.432682,1159.058113,261.882215,193.481615,261.882215,910.25674,-144.301012,-21.989564,58.400501,-21.989564,-73.328994,75.408312,58.400501,75.408312,1057.31102,169.358448,1.0,4.361519,1.24726,2.186922,0.0,-96.051807,1170.8172794003892,6.913249933657807,0.0059237993609393405
45475.0,0.13168,0.987047,-0.091648,-0.977808,0.14453,0.151669,0.16295,0.069643,0.984173,591.76751,146.11529,309.113715,3.591333,3.587382,3.600601,89.989882,89.959648,89.976075,169.602077,0.073125,0.077271,72.318572,0.868056,-1967.064168,-339.302468,-147.284314,-339.302468,-1071.030769,48.153799,-147.284314,48.153799,1673.899008,-222.090091,63.382955,-101.22056,63.382955,-937.674501,51.937575,-101.22056,51.937575,1694.70576,539.802345,1.0,3.685144,0.178149,1.166905,0.0,-90.886285,2360.194270544321,4.372330525063431,0.012003223736220897
